menuname,direction,provider,backendurl,frontendurl,httpMethod,jsfile,line,controllerClass,판정,note
(호출 메뉴 없음) /anonymous/arms/patchnote,BE→호출없음,상속(TreeAbstractController),/anonymous/arms/patchnote/moveNode.do,(호출 없음),POST,,,PatchnoteController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/arms/patchnote,BE→호출없음,상속(TreeAbstractController),/anonymous/arms/patchnote/removeNode.do,(호출 없음),DELETE,,,PatchnoteController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/arms/patchnote,BE→호출없음,상속(TreeAbstractController),/anonymous/arms/patchnote/searchNode.do,(호출 없음),GET,,,PatchnoteController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/arms/patchnote,BE→호출없음,상속(TreeAbstractController),/anonymous/arms/patchnote/send-message,(호출 없음),GET,,,PatchnoteController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/arms/patchnote,BE→호출없음,상속(TreeAbstractController),/anonymous/arms/patchnote/updateNode.do,(호출 없음),PUT,,,PatchnoteController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/cover/newsletter,BE→호출없음,자체 선언,/anonymous/cover/newsletter/addNewsletter,(호출 없음),POST,,,NewsletterController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /anonymous/cover/newsletter,BE→호출없음,상속(TreeAbstractController),/anonymous/cover/newsletter/addNode.do,(호출 없음),POST,,,NewsletterController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/cover/newsletter,BE→호출없음,상속(TreeAbstractController),/anonymous/cover/newsletter/alterNode.do,(호출 없음),PUT,,,NewsletterController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/cover/newsletter,BE→호출없음,상속(TreeAbstractController),/anonymous/cover/newsletter/alterNodeType.do,(호출 없음),PUT,,,NewsletterController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/cover/newsletter,BE→호출없음,상속(TreeAbstractController),/anonymous/cover/newsletter/analyzeNode.do,(호출 없음),GET,,,NewsletterController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/cover/newsletter,BE→호출없음,자체 선언,/anonymous/cover/newsletter/countNewsletters,(호출 없음),GET,,,NewsletterController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /anonymous/cover/newsletter,BE→호출없음,상속(TreeAbstractController),/anonymous/cover/newsletter/getChildNode.do,(호출 없음),GET,,,NewsletterController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/cover/newsletter,BE→호출없음,상속(TreeAbstractController),/anonymous/cover/newsletter/getMonitor.do,(호출 없음),GET,,,NewsletterController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/cover/newsletter,BE→호출없음,자체 선언,/anonymous/cover/newsletter/getNewsletter/{newsletterId},(호출 없음),GET,,,NewsletterController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 경로 변수 포함
(호출 메뉴 없음) /anonymous/cover/newsletter,BE→호출없음,자체 선언,/anonymous/cover/newsletter/getNewsletters,(호출 없음),GET,,,NewsletterController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /anonymous/cover/newsletter,BE→호출없음,상속(TreeAbstractController),/anonymous/cover/newsletter/getNode.do,(호출 없음),GET,,,NewsletterController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/cover/newsletter,BE→호출없음,상속(TreeAbstractController),/anonymous/cover/newsletter/getNodesWithoutRoot.do,(호출 없음),GET,,,NewsletterController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/cover/newsletter,BE→호출없음,상속(TreeAbstractController),/anonymous/cover/newsletter/getPaginatedChildNode.do,(호출 없음),GET,,,NewsletterController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/cover/newsletter,BE→호출없음,자체 선언,/anonymous/cover/newsletter/getPopularNewsletters,(호출 없음),GET,,,NewsletterController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /anonymous/cover/newsletter,BE→호출없음,상속(TreeAbstractController),/anonymous/cover/newsletter/moveNode.do,(호출 없음),POST,,,NewsletterController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/cover/newsletter,BE→호출없음,자체 선언,/anonymous/cover/newsletter/removeNewsletter/{newsletterId},(호출 없음),DELETE,,,NewsletterController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 경로 변수 포함
(호출 메뉴 없음) /anonymous/cover/newsletter,BE→호출없음,상속(TreeAbstractController),/anonymous/cover/newsletter/removeNode.do,(호출 없음),DELETE,,,NewsletterController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/cover/newsletter,BE→호출없음,상속(TreeAbstractController),/anonymous/cover/newsletter/searchNode.do,(호출 없음),GET,,,NewsletterController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/cover/newsletter,BE→호출없음,상속(TreeAbstractController),/anonymous/cover/newsletter/send-message,(호출 없음),GET,,,NewsletterController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /anonymous/cover/newsletter,BE→호출없음,자체 선언,/anonymous/cover/newsletter/updateNewsletter,(호출 없음),PUT,,,NewsletterController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /anonymous/cover/newsletter,BE→호출없음,상속(TreeAbstractController),/anonymous/cover/newsletter/updateNode.do,(호출 없음),PUT,,,NewsletterController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /arms/alarm,BE→호출없음,자체 선언,/arms/alarm/excel-upload-complete,(호출 없음),POST,,,AlarmController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/alarm,BE→호출없음,자체 선언,/arms/alarm/gantt-excel-upload-refresh,(호출 없음),POST,,,AlarmController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/alarm,BE→호출없음,자체 선언,/arms/alarm/req-def-row-status,(호출 없음),POST,,,AlarmController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/alarm,BE→호출없음,자체 선언,/arms/alarm/send-message,(호출 없음),POST,,,AlarmController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/alarm,BE→호출없음,자체 선언,/arms/alarm/send-message/server,(호출 없음),POST,,,AlarmController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/alarm,BE→호출없음,자체 선언,/arms/alarm/wbs-row-status,(호출 없음),POST,,,AlarmController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/dynamicDBMaker,BE→호출없음,상속(TreeAbstractController),/arms/dynamicDBMaker/addNode.do,(호출 없음),POST,,,DynamicDBMakerController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /arms/dynamicDBMaker,BE→호출없음,상속(TreeAbstractController),/arms/dynamicDBMaker/alterNode.do,(호출 없음),PUT,,,DynamicDBMakerController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /arms/dynamicDBMaker,BE→호출없음,상속(TreeAbstractController),/arms/dynamicDBMaker/alterNodeType.do,(호출 없음),PUT,,,DynamicDBMakerController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /arms/dynamicDBMaker,BE→호출없음,상속(TreeAbstractController),/arms/dynamicDBMaker/analyzeNode.do,(호출 없음),GET,,,DynamicDBMakerController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /arms/dynamicDBMaker,BE→호출없음,자체 선언,/arms/dynamicDBMaker/createSchema,(호출 없음),GET,,,DynamicDBMakerController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/dynamicDBMaker,BE→호출없음,상속(TreeAbstractController),/arms/dynamicDBMaker/getChildNode.do,(호출 없음),GET,,,DynamicDBMakerController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /arms/dynamicDBMaker,BE→호출없음,상속(TreeAbstractController),/arms/dynamicDBMaker/getMonitor.do,(호출 없음),GET,,,DynamicDBMakerController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /arms/dynamicDBMaker,BE→호출없음,상속(TreeAbstractController),/arms/dynamicDBMaker/getNode.do,(호출 없음),GET,,,DynamicDBMakerController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /arms/dynamicDBMaker,BE→호출없음,상속(TreeAbstractController),/arms/dynamicDBMaker/getNodesWithoutRoot.do,(호출 없음),GET,,,DynamicDBMakerController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /arms/dynamicDBMaker,BE→호출없음,상속(TreeAbstractController),/arms/dynamicDBMaker/getPaginatedChildNode.do,(호출 없음),GET,,,DynamicDBMakerController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /arms/dynamicDBMaker,BE→호출없음,상속(TreeAbstractController),/arms/dynamicDBMaker/moveNode.do,(호출 없음),POST,,,DynamicDBMakerController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /arms/dynamicDBMaker,BE→호출없음,상속(TreeAbstractController),/arms/dynamicDBMaker/removeNode.do,(호출 없음),DELETE,,,DynamicDBMakerController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /arms/dynamicDBMaker,BE→호출없음,상속(TreeAbstractController),/arms/dynamicDBMaker/searchNode.do,(호출 없음),GET,,,DynamicDBMakerController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /arms/dynamicDBMaker,BE→호출없음,상속(TreeAbstractController),/arms/dynamicDBMaker/send-message,(호출 없음),GET,,,DynamicDBMakerController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /arms/dynamicDBMaker,BE→호출없음,상속(TreeAbstractController),/arms/dynamicDBMaker/updateNode.do,(호출 없음),PUT,,,DynamicDBMakerController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 상속 전개 엔드포인트(inherited(TreeAbstractController))
(호출 메뉴 없음) /arms/export/reports,BE→호출없음,자체 선언,/arms/export/reports/export/ppt,(호출 없음),POST,,,ReportExportController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/reports,BE→호출없음,자체 선언,/arms/export/reports/export/ppt/metadata,(호출 없음),POST,,,ReportExportController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/reports,BE→호출없음,자체 선언,/arms/export/reports/health,(호출 없음),GET,,,ReportExportController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/reports,BE→호출없음,자체 선언,/arms/export/reports/simple-report,(호출 없음),POST,,,ReportExportController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/reports,BE→호출없음,자체 선언,/arms/export/reports/simple-report-v2,(호출 없음),POST,,,ReportExportController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/reports,BE→호출없음,자체 선언,/arms/export/reports/weekly-report,(호출 없음),POST,,,ReportExportController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/templates,BE→호출없음,자체 선언,/arms/export/templates,(호출 없음),GET,,,TemplateController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/templates,BE→호출없음,자체 선언,/arms/export/templates/analyze,(호출 없음),GET,,,TemplateController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/templates,BE→호출없음,자체 선언,/arms/export/templates/analyze/styles,(호출 없음),GET,,,TemplateController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/templates,BE→호출없음,자체 선언,/arms/export/templates/bind,(호출 없음),POST,,,TemplateController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/templates,BE→호출없음,자체 선언,/arms/export/templates/convert/pdf,(호출 없음),GET,,,TemplateController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/templates,BE→호출없음,자체 선언,/arms/export/templates/convert/pdf,(호출 없음),POST,,,TemplateController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/templates,BE→호출없음,자체 선언,/arms/export/templates/download/weekly-report,(호출 없음),GET,,,TemplateController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/templates,BE→호출없음,자체 선언,/arms/export/templates/export/editor,(호출 없음),POST,,,TemplateController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/templates,BE→호출없음,자체 선언,/arms/export/templates/upload,(호출 없음),POST,,,TemplateController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/templates,BE→호출없음,자체 선언,/arms/export/templates/{templateId},(호출 없음),DELETE,,,TemplateController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 경로 변수 포함
(호출 메뉴 없음) /arms/export/templates,BE→호출없음,자체 선언,/arms/export/templates/{templateId},(호출 없음),GET,,,TemplateController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음 / 경로 변수 포함
(호출 메뉴 없음) /arms/export/templates/test,BE→호출없음,자체 선언,/arms/export/templates/test/alt-case,(호출 없음),GET,,,TemplateTestController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/templates/test,BE→호출없음,자체 선언,/arms/export/templates/test/alt-case,(호출 없음),POST,,,TemplateTestController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/templates/test,BE→호출없음,자체 선언,/arms/export/templates/test/alt-case/analyze,(호출 없음),GET,,,TemplateTestController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/templates/test,BE→호출없음,자체 선언,/arms/export/templates/test/chart-table,(호출 없음),GET,,,TemplateTestController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/templates/test,BE→호출없음,자체 선언,/arms/export/templates/test/chart-table,(호출 없음),POST,,,TemplateTestController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/templates/test,BE→호출없음,자체 선언,/arms/export/templates/test/master-report,(호출 없음),GET,,,TemplateTestController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/templates/test,BE→호출없음,자체 선언,/arms/export/templates/test/master-report,(호출 없음),POST,,,TemplateTestController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/templates/test,BE→호출없음,자체 선언,/arms/export/templates/test/master-report/analyze,(호출 없음),GET,,,TemplateTestController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/templates/test,BE→호출없음,자체 선언,/arms/export/templates/test/simple-chart,(호출 없음),GET,,,TemplateTestController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/templates/test,BE→호출없음,자체 선언,/arms/export/templates/test/simple-chart,(호출 없음),POST,,,TemplateTestController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/templates/test,BE→호출없음,자체 선언,/arms/export/templates/test/textarea,(호출 없음),GET,,,TemplateTestController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/templates/test,BE→호출없음,자체 선언,/arms/export/templates/test/textarea,(호출 없음),POST,,,TemplateTestController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
(호출 메뉴 없음) /arms/export/templates/test,BE→호출없음,자체 선언,/arms/export/templates/test/textarea/analyze,(호출 없음),GET,,,TemplateTestController,프론트 호출 없음,Frontend-Web 에서 호출하는 곳 없음 / 해당 basePath 를 부르는 프론트 호출이 한 건도 없음
